Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,IMDB Rating,Runtime,Genre,Metascore,Directors,Stars
2019,Avengers: Endgame,400000000,858373000,2797800564,8.4,181,Action,78.0,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
2011,Pirates of the Caribbean: On Stranger Tides,379000000,241071802,1045713802,6.6,136,Action,45.0,Rob Marshall,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Geoffrey Rush']"
2015,Avengers: Age of Ultron,365000000,459005868,1395316979,7.3,141,Action,66.0,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
2018,Avengers: Infinity War,300000000,678815482,2044540523,8.4,149,Action,68.0,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']"
2017,Justice League,300000000,229024295,655945209,6.1,120,Action,45.0,Zack Snyder,"['Ben Affleck', 'Gal Gadot', 'Jason Momoa', 'Ezra Miller']"
2015,Spectre,300000000,200074175,879500760,6.8,148,Action,60.0,Sam Mendes,"['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes']"
2018,Solo: A Star Wars Story,275000000,213767512,393151347,6.9,135,Action,62.0,Ron Howard,"['Alden Ehrenreich', 'Woody Harrelson', 'Emilia Clarke', 'Donald Glover']"
2012,John Carter,263700000,73058679,282778100,6.6,132,Action,51.0,Andrew Stanton,"['Taylor Kitsch', 'Lynn Collins', 'Willem Dafoe', 'Samantha Morton']"
2016,Batman v Superman: Dawn of Justice,263000000,330360194,872395091,6.4,151,Action,44.0,Zack Snyder,"['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg']"
2010,Tangled,260000000,200821936,584899819,7.7,100,Animation,71.0,Nathan Greno,"['Byron Howard', 'Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman']"
2007,Spider-Man 3,258000000,336530303,894860230,6.3,139,Action,59.0,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'Topher Grace', 'Thomas Haden Church']"
2016,Captain America: Civil War,250000000,408084349,1151918521,7.8,147,Action,75.0,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']"
2009,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,7.6,153,Action,78.0,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']"
2013,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,7.8,161,Fantasy,66.0,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott']"
2014,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,7.4,144,Adventure,59.0,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Cate Blanchett']"
2017,The Fate of the Furious,250000000,225764765,1236703796,6.6,136,Action,56.0,F,"['Vin Diesel', 'Jason Statham', 'Dwayne Johnson', 'Michelle Rodriguez']"
2021,No Time to Die,250000000,159740451,761155836,7.3,163,Action,68.0,Cary Joji Fukunaga,"['Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux']"
2009,Avatar,237000000,760507625,2845899541,7.9,162,Action,83.0,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez']"
2006,Superman Returns,232000000,200120000,391081192,6.1,154,Action,72.0,Bryan Singer,"['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth', 'James Marsden']"
2012,The Dark Knight Rises,230000000,448139099,1082228107,8.4,164,Action,78.0,Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
2017,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794,6.5,129,Action,39.0,Joachim Rønning,"['Espen Sandberg', 'Johnny Depp', 'Geoffrey Rush', 'Javier Bardem', 'Orlando Bloom']"
2008,Quantum of Solace,230000000,169368427,591692078,6.6,106,Action,58.0,Marc Forster,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Judi Dench']"
2013,Man of Steel,225000000,291045518,667999518,7.1,143,Action,55.0,Zack Snyder,"['Henry Cavill', 'Amy Adams', 'Michael Shannon', 'Diane Lane']"
2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,6.5,150,Action,62.0,Andrew Adamson,"['Ben Barnes', 'Skandar Keynes', 'Georgie Henley', 'William Moseley']"
2013,The Lone Ranger,225000000,89302115,260002115,6.4,150,Action,37.0,Gore Verbinski,"['Johnny Depp', 'Armie Hammer', 'William Fichtner', 'Tom Wilkinson']"
2012,The Amazing Spider-Man,220000000,262030663,757890267,6.9,136,Action,66.0,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Irrfan Khan']"
2012,Battleship,220000000,65233400,313477717,5.8,131,Action,41.0,Peter Berg,"['Alexander Skarsgård', 'Brooklyn Decker', 'Liam Neeson', 'Rihanna']"
2017,Transformers: The Last Knight,217000000,130168683,602893340,5.2,154,Action,27.0,Michael Bay,"['Mark Wahlberg', 'Anthony Hopkins', 'Josh Duhamel', 'Laura Haddock']"
2015,Jurassic World,215000000,652306625,1669979967,6.9,124,Action,59.0,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins', 'Judy Greer']"
2012,Men in Black 3,215000000,179020854,654213485,6.8,106,Action,58.0,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Jemaine Clement']"
2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699,5.9,149,Action,35.0,Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson']"
2014,Transformers: Age of Extinction,210000000,245439076,1104054072,5.6,165,Action,32.0,Michael Bay,"['Mark Wahlberg', 'Nicola Peltz Beckham', 'Jack Reynor', 'Stanley Tucci']"
2006,X-Men: The Last Stand,210000000,234362462,459260946,6.6,104,Action,58.0,Brett Ratner,"['Patrick Stewart', 'Hugh Jackman', 'Halle Berry', 'Famke Janssen']"
2007,The Golden Compass,205000000,70107728,367262558,6.1,113,Adventure,51.0,Chris Weitz,"['Nicole Kidman', 'Daniel Craig', 'Dakota Blue Richards', 'Ben Walker']"
2020,Tenet,205000000,58456624,362403476,7.3,150,Action,69.0,Christopher Nolan,"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Juhan Ulfsak']"
2018,Black Panther,200000000,700059566,1336494321,7.3,134,Action,88.0,Ryan Coogler,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']"
1997,Titanic,200000000,659363944,2207986545,7.9,194,Drama,75.0,James Cameron,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']"
2018,Incredibles 2,200000000,608581744,1242805359,7.6,118,Animation,80.0,Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner']"
2016,Rogue One: A Star Wars Story,200000000,532177324,1055135598,7.8,133,Action,65.0,Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']"
2016,Finding Dory,200000000,486295561,1025006125,7.3,97,Animation,77.0,Andrew Stanton,"['Angus MacLane', 'Ellen DeGeneres', 'Albert Brooks', ""Ed O'Neill"", 'Kaitlin Olson']"
2019,Toy Story 4,200000000,434038008,1073080329,7.7,100,Animation,84.0,Josh Cooley,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale']"
2010,Toy Story 3,200000000,415004880,1068879522,8.3,103,Animation,92.0,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']"
2013,Iron Man 3,200000000,408992272,1215392272,7.1,130,Action,62.0,Shane Black,"['Robert Downey Jr.', 'Guy Pearce', 'Gwyneth Paltrow', 'Don Cheadle']"
2004,Spider-Man 2,200000000,373524485,794697557,7.4,127,Action,83.0,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'Alfred Molina', 'James Franco']"
2012,Skyfall,200000000,304360277,1110526981,7.8,143,Action,81.0,Sam Mendes,"['Daniel Craig', 'Javier Bardem', 'Naomie Harris', 'Judi Dench']"
2012,The Hobbit: An Unexpected Journey,200000000,303003568,1014938545,7.8,169,Adventure,58.0,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Andy Serkis']"
2013,Monsters University,200000000,268488329,743455810,7.2,104,Animation,65.0,Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren']"
2013,Oz the Great and Powerful,200000000,234770996,490359051,6.3,130,Adventure,44.0,Sam Raimi,"['James Franco', 'Michelle Williams', 'Rachel Weisz', 'Mila Kunis']"
2014,X-Men: Days of Future Past,200000000,233921534,747862775,7.9,132,Action,75.0,Bryan Singer,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'James McAvoy']"
2014,The Amazing Spider-Man 2,200000000,202853933,708996336,6.6,142,Action,53.0,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Paul Giamatti']"
2011,Cars 2,200000000,191450875,560155383,6.2,106,Animation,57.0,John Lasseter,"['Bradford Lewis', 'Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer']"
2019,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706,6.5,137,Action,60.0,David Leitch,"['Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby']"
2009,2012,200000000,166112167,757677748,5.8,158,Action,49.0,Roland Emmerich,"['John Cusack', 'Thandiwe Newton', 'Chiwetel Ejiofor', 'Amanda Peet']"
2018,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,651280475,6.5,134,Adventure,52.0,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Johnny Depp']"
2021,Eternals,200000000,157435106,383781214,6.3,156,Action,52.0,Chloé Zhao,"['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Salma Hayek']"
2009,Terminator Salvation,200000000,125322469,365491792,6.5,115,Action,49.0,McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood']"
2011,Green Lantern,200000000,116601172,219535492,5.5,114,Action,39.0,Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong']"
2020,Onward,200000000,61555145,133317030,7.4,102,Animation,61.0,Dan Scanlon,"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']"
2020,Wonder Woman 1984,200000000,46586274,166145470,5.4,151,Action,60.0,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal']"
2011,Transformers: Dark of the Moon,195000000,352390543,1123794079,6.2,154,Action,42.0,Michael Bay,"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson', 'Josh Duhamel']"
2013,Jack the Giant Slayer,195000000,65187603,197687603,6.3,114,Action,51.0,Bryan Singer,"['Nicholas Hoult', 'Stanley Tucci', 'Ewan McGregor', 'Bill Nighy']"
2015,Furious 7,190000000,353007020,1516881526,7.1,137,Action,67.0,James Wan,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jason Statham']"
2013,Star Trek Into Darkness,190000000,228778661,467381584,7.7,132,Action,72.0,J,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch']"
2013,World War Z,190000000,202706711,531861650,7.0,116,Action,63.0,Marc Forster,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz', 'James Badge Dale']"
2013,Pacific Rim,190000000,101802906,411002906,6.9,131,Action,65.0,Guillermo del Toro,"['Idris Elba', 'Charlie Hunnam', 'Rinko Kikuchi', 'Charlie Day']"
2015,The Good Dinosaur,187500000,123087120,333771037,6.7,93,Animation,66.0,Peter Sohn,"['Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla', 'Ryan Teeple']"
2008,Iron Man,186000000,318604126,585171547,7.9,126,Action,79.0,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']"
2008,The Dark Knight,185000000,533720947,998615789,9.0,152,Action,84.0,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
2008,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,6.2,122,Action,65.0,Steven Spielberg,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Karen Allen']"
2012,Brave,185000000,237282182,554606532,7.1,93,Animation,69.0,Mark Andrews,"['Brenda Chapman', 'Steve Purcell', 'Kelly Macdonald', 'Billy Connolly', 'Emma Thompson', 'Julie Walters']"
2017,Kong: Skull Island,185000000,168052812,561072059,6.6,118,Action,62.0,Jordan Vogt,"['Tom Hiddleston', 'Samuel L. Jackson', 'Brie Larson', 'John C. Reilly']"
2016,Star Trek Beyond,185000000,158848340,335673708,7.0,122,Action,68.0,Justin Lin,"['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Zoe Saldana']"
2019,Maleficent: Mistress of Evil,185000000,113929605,489346495,6.6,119,Adventure,43.0,Joachim Rønning,"['Angelina Jolie', 'Elle Fanning', 'Harris Dickinson', 'Michelle Pfeiffer']"
2017,Blade Runner 2049,185000000,92054159,258829058,8.0,164,Action,81.0,Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']"
2019,Terminator: Dark Fate,185000000,62253077,250372367,6.2,128,Action,54.0,Tim Miller,"['Linda Hamilton', 'Arnold Schwarzenegger', 'Mackenzie Davis', 'Natalia Reyes']"
2021,The Suicide Squad,185000000,55800219,167250021,7.2,132,Action,72.0,James Gunn,"['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman']"
2017,Thor: Ragnarok,180000000,315058289,850482778,7.9,130,Action,74.0,Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']"
2014,Maleficent,180000000,241407328,758536735,6.9,97,Adventure,56.0,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Lesley Manville']"
2016,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385,7.2,132,Adventure,66.0,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol', 'Dan Fogler']"
2007,Rush Hour 3,180000000,140125968,256585882,6.2,91,Action,44.0,Brett Ratner,"['Jackie Chan', 'Chris Tucker', 'Max von Sydow', 'Hiroyuki Sanada']"
2016,The Legend of Tarzan,180000000,126643061,348902025,6.2,110,Action,44.0,David Yates,"['Alexander Skarsgård', 'Rory J Saper', 'Christian Stevens', 'Christoph Waltz']"
2011,Hugo,180000000,73864507,180047784,7.5,126,Adventure,83.0,Martin Scorsese,"['Asa Butterfield', 'Chloë Grace Moretz', 'Christopher Lee', 'Ben Kingsley']"
2017,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,6.4,136,Action,51.0,Luc Besson,"['Dane DeHaan', 'Cara Delevingne', 'Clive Owen', 'Rihanna']"
2015,Jupiter Ascending,179000000,47482519,181982519,5.3,127,Action,40.0,Lana Wachowski,"['Lilly Wachowski', 'Channing Tatum', 'Mila Kunis', 'Eddie Redmayne', 'Sean Bean']"
2016,X-Men: Apocalypse,178000000,155442489,542537546,6.9,144,Action,52.0,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']"
2018,The Meg,178000000,145443742,527370715,5.6,113,Action,46.0,Jon Turteltaub,"['Jason Statham', 'Bingbing Li', 'Rainn Wilson', 'Cliff Curtis']"
2014,Edge of Tomorrow,178000000,100206256,367028980,7.9,113,Action,71.0,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']"
2019,Captain Marvel,175000000,426829839,1129727388,6.8,123,Action,64.0,Anna Boden,"['Ryan Fleck', 'Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law']"
2015,Inside Out,175000000,356461711,853641066,8.1,95,Animation,94.0,Pete Docter,"['Ronnie Del Carmen', 'Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']"
2017,Spider-Man: Homecoming,175000000,334201140,880166350,7.4,133,Action,73.0,Jon Watts,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei']"
2016,Suicide Squad,175000000,325100054,745744980,5.9,123,Action,40.0,David Ayer,"['Will Smith', 'Jared Leto', 'Margot Robbie', 'Viola Davis']"
2009,Up,175000000,293004164,731463377,8.3,96,Animation,88.0,Pete Docter,"['Bob Peterson', 'Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']"
2017,Coco,175000000,210460015,797666425,8.4,105,Animation,81.0,Lee Unkrich,"['Adrian Molina', 'Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']"
2009,Monsters vs. Aliens,175000000,198351526,381687380,6.4,94,Animation,56.0,Rob Letterman,"['Conrad Vernon', 'Reese Witherspoon', 'Rainn Wilson', 'Stephen Colbert', 'Seth Rogen']"
2017,Cars 3,175000000,152901115,383541369,6.7,102,Animation,59.0,Brian Fee,"['Owen Wilson', 'Cristela Alonzo', 'Chris Cooper', 'Nathan Fillion']"
2009,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017,5.7,118,Action,32.0,Stephen Sommers,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans', 'Adewale Akinnuoye-Agbaje']"
1999,Wild Wild West,175000000,113805681,221229335,4.9,106,Action,38.0,Barry Sonnenfeld,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek']"
2008,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225,5.2,112,Action,31.0,Rob Cohen,"['Brendan Fraser', 'Jet Li', 'Maria Bello', 'Michelle Yeoh']"
2007,Evan Almighty,175000000,100289690,174131329,5.4,96,Comedy,37.0,Tom Shadyac,"['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'Johnny Simmons']"
1995,Waterworld,175000000,88246220,264246220,6.3,177,Action,56.0,Kevin Reynolds,"['Kevin Costner', 'Jeanne Tripplehorn', 'Dennis Hopper', 'Tina Majorino']"
2020,Dolittle,175000000,77047065,251409960,5.6,101,Adventure,26.0,Stephen Gaghan,"['Robert Downey Jr.', 'Antonio Banderas', 'Michael Sheen', 'Jim Broadbent']"
2017,King Arthur: Legend of the Sword,175000000,39175066,139630336,6.7,126,Action,41.0,Guy Ritchie,"['Charlie Hunnam', 'Astrid Bergès-Frisbey', 'Jude Law', 'Djimon Hounsou']"
2013,47 Ronin,175000000,38362475,151716815,6.2,128,Action,28.0,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki', 'Tadanobu Asano']"
2018,Jurassic World: Fallen Kingdom,170000000,417719760,1308334005,6.1,128,Action,51.0,J,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Justice Smith']"
2014,Guardians of the Galaxy,170000000,333714112,770882395,8.0,121,Action,76.0,James Gunn,"['Chris Pratt', 'Vin Diesel', 'Bradley Cooper', 'Zoe Saldana']"
2010,Iron Man 2,170000000,312433331,621156389,6.9,124,Action,57.0,Jon Favreau,"['Robert Downey Jr.', 'Mickey Rourke', 'Gwyneth Paltrow', 'Don Cheadle']"
2014,Captain America: The Winter Soldier,170000000,259746958,714401889,7.8,136,Action,70.0,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford']"
2014,Dawn of the Planet of the Apes,170000000,208545589,710644566,7.6,130,Action,79.0,Matt Reeves,"['Gary Oldman', 'Keri Russell', 'Andy Serkis', 'Kodi Smit-McPhee']"
