Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,IMDB Rating,Runtime,Genre,Metascore,Directors,Stars,Director,Writer,Cast,Country of Origin,Languages
2019.0,Avengers: Endgame,400000000,858373000,2797800564,8.4,181,Action,78.0,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman, Brie Larson, Tom Holland, Karen Gillan, Zoe Saldana, Evangeline Lilly, Tessa Thompson, Rene Russo, Elizabeth Olsen",United States,"English, Japanese, Xhosa, German"
2015.0,Avengers: Age of Ultron,365000000,459005868,1395316979,7.3,141,Action,66.0,Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",Joss Whedon,"Joss Whedon, Stan Lee, Jack Kirby","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Linda Cardellini, Stellan Skarsgård",United States,"English, Korean"
2018.0,Avengers: Infinity War,300000000,678815482,2044540523,8.4,149,Action,68.0,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Don Cheadle, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Zoe Saldana, Karen Gillan, Tom Hiddleston, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Idris Elba, Danai Gurira",United States,English
2016.0,Captain America: Civil War,250000000,408084349,1151918521,7.8,147,Action,75.0,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily VanCamp, Tom Holland, Daniel Brühl, Frank Grillo, William Hurt, Martin Freeman, Marisa Tomei",United States,"English, German, Xhosa, Russian, Romanian"
2009.0,Harry Potter and the Half-Blood Prince,250000000,302089278,929411069,7.6,153,Action,78.0,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']",David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, Dave Legeno, Elarica Johnson, Jim Broadbent, Geraldine Somerville, Bonnie Wright, Julie Walters, Helena Bonham Carter, Helen McCrory, Timothy Spall, Alan Rickman, Oliver Phelps, James Phelps, Freddie Stroma, Jessie Cave",United Kingdom,"English, Latin"
2013.0,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,7.8,161,Fantasy,66.0,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott']",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner, John Callen, Peter Hambleton, Jed Brophy, Mark Hadlow, Adam Brown, Orlando Bloom, Evangeline Lilly, Lee Pace",New Zealand,English
2014.0,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,7.4,144,Adventure,59.0,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Cate Blanchett']",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner, John Callen, Peter Hambleton, Jed Brophy, Mark Hadlow, Adam Brown, Orlando Bloom, Evangeline Lilly",New Zealand,English
2021.0,No Time to Die,250000000,159740451,761155836,7.3,163,Action,68.0,Cary Joji Fukunaga,"['Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux']",Cary Joji Fukunaga,"Neal Purvis, Robert Wade, Cary Joji Fukunaga","Daniel Craig, Ana de Armas, Rami Malek, Léa Seydoux, Lashana Lynch, Ralph Fiennes, Ben Whishaw, Naomie Harris, Rory Kinnear, Jeffrey Wright, Billy Magnussen, Christoph Waltz, David Dencik, Dali Benssalah, Lisa-Dorah Sonnet, Coline Defaud, Mathilde Bourbin, Hugh Dennis",United Kingdom,"English, French, Italian, Russian, Spanish, Norwegian, German"
2009.0,Avatar,237000000,760507625,2845899541,7.9,162,Action,83.0,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez']",James Cameron,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez, Stephen Lang, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso, Dileep Rao, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence, Kelly Kilgour, James Patrick Pitt, Sean Patrick Murphy",United States,"English, Spanish"
2012.0,The Dark Knight Rises,230000000,448139099,1082228107,8.4,164,Action,78.0,Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, Joseph Gordon-Levitt, Marion Cotillard, Morgan Freeman, Michael Caine, Matthew Modine, Alon Aboutboul, Ben Mendelsohn, Burn Gorman, Daniel Sunjata, Aidan Gillen, Sam Kennard, Aliash Tepina, Nestor Carbonell, Brett Cullen",United States,"English, Arabic"
